datetime,open,high,low,close,volume
2020-05-10 17:30:00,184.29,184.7,183.23,184.62,27008.429
2020-05-10 18:00:00,184.65,185.85,184.23,184.59,36975.772
2020-05-10 18:30:00,184.54,184.94,183.47,184.21,31824.038
2020-05-10 19:00:00,184.19,185.46,184.19,185.27,20499.545
2020-05-10 19:30:00,185.29,186.42,184.39,185.21,26330.463
2020-05-10 20:00:00,185.21,189.53,185.18,188.81,73949.049
2020-05-10 20:30:00,188.81,189.26,187.7,187.76,18932.922
2020-05-10 21:00:00,187.74,188.93,187.49,187.98,12578.571
2020-05-10 21:30:00,188.0,190.68,187.98,188.88,48963.5
2020-05-10 22:00:00,188.89,189.78,187.53,188.57,32125.581
2020-05-10 22:30:00,188.55,189.18,187.93,188.29,27143.617
2020-05-10 23:00:00,188.28,189.06,185.87,186.33,55365.228
2020-05-10 23:30:00,186.27,188.34,185.0,187.52,51655.136
2020-05-11 00:00:00,187.48,189.96,187.4,189.72,37873.438
2020-05-11 00:30:00,189.69,191.08,189.19,189.91,37300.841
2020-05-11 01:00:00,189.9,190.34,188.27,189.03,27690.807
2020-05-11 01:30:00,189.03,189.55,188.66,188.82,14293.743
2020-05-11 02:00:00,188.81,190.1,188.39,189.68,14721.489
2020-05-11 02:30:00,189.66,190.51,189.6,189.89,15614.095
2020-05-11 03:00:00,189.89,190.31,188.82,189.04,17999.86
2020-05-11 03:30:00,189.03,189.15,188.02,188.44,20415.288
2020-05-11 04:00:00,188.45,188.97,187.39,188.24,26203.136
2020-05-11 04:30:00,188.23,188.8,186.73,187.13,37648.656
2020-05-11 05:00:00,187.12,187.95,186.64,187.61,25610.219
2020-05-11 05:30:00,187.61,188.3,187.37,187.89,16596.123
2020-05-11 06:00:00,187.93,188.6,187.44,188.28,19763.422
2020-05-11 06:30:00,188.28,188.46,187.58,187.71,14370.738
2020-05-11 07:00:00,187.75,188.08,187.09,187.19,17960.571
2020-05-11 07:30:00,187.23,187.68,185.25,187.26,40145.538
2020-05-11 08:00:00,187.27,187.8,184.25,184.94,51566.978
2020-05-11 08:30:00,184.93,186.5,184.7,186.43,27317.342
2020-05-11 09:00:00,186.42,186.48,184.35,185.13,27168.901
2020-05-11 09:30:00,185.11,185.83,183.77,183.95,39335.886
2020-05-11 10:00:00,183.93,187.84,183.86,187.59,54751.014
2020-05-11 10:30:00,187.53,188.99,187.2,187.62,66564.744
2020-05-11 11:00:00,187.63,188.62,186.76,188.38,43600.384
2020-05-11 11:30:00,188.4,189.8,187.58,188.93,49476.101
2020-05-11 12:00:00,188.93,193.38,188.35,193.11,77194.908
2020-05-11 12:30:00,193.13,193.44,187.07,187.28,127823.082
2020-05-11 13:00:00,187.3,188.76,186.35,186.76,55087.942
2020-05-11 13:30:00,186.78,187.86,186.35,187.56,30602.162
2020-05-11 14:00:00,187.56,188.5,187.53,187.97,22367.394
2020-05-11 14:30:00,187.96,188.27,187.08,187.87,21979.826
2020-05-11 15:00:00,187.88,189.01,186.82,188.63,34190.55
2020-05-11 15:30:00,188.63,188.96,187.49,188.18,18372.008
2020-05-11 16:00:00,188.19,188.8,187.5,187.75,25204.119
2020-05-11 16:30:00,187.74,187.74,178.46,183.33,202388.255
2020-05-11 17:00:00,183.34,185.1,182.8,184.18,56513.577
2020-05-11 17:30:00,184.15,184.61,182.24,183.35,50156.143
2020-05-11 18:00:00,183.38,183.43,175.5,181.76,199276.074
2020-05-11 18:30:00,181.79,184.8,179.75,183.89,131835.294
2020-05-11 19:00:00,183.8,183.89,180.87,182.82,79900.392
2020-05-11 19:30:00,182.79,188.24,181.14,187.14,136794.915
2020-05-11 20:00:00,187.17,188.24,185.48,186.09,70217.865
2020-05-11 20:30:00,186.14,186.94,185.14,186.55,29661.774
2020-05-11 21:00:00,186.55,188.17,186.55,186.87,29153.932
2020-05-11 21:30:00,186.87,186.87,183.31,185.61,41224.16
2020-05-11 22:00:00,185.58,186.26,184.8,185.6,25382.446
2020-05-11 22:30:00,185.55,186.4,185.03,185.76,21449.964
2020-05-11 23:00:00,185.82,186.13,183.63,184.05,39465.897
2020-05-11 23:30:00,184.05,186.54,184.01,185.69,40797.204
2020-05-12 00:00:00,185.68,187.91,185.4,187.45,44442.132
2020-05-12 00:30:00,187.46,187.63,185.86,186.81,30392.568
2020-05-12 01:00:00,186.79,187.21,185.79,186.5,26136.957
2020-05-12 01:30:00,186.5,187.67,186.3,187.2,22804.599
2020-05-12 02:00:00,187.27,187.97,186.82,187.52,26059.033
2020-05-12 02:30:00,187.53,189.34,187.16,187.93,34810.772
2020-05-12 03:00:00,187.94,188.91,187.66,188.14,22539.163
2020-05-12 03:30:00,188.12,188.7,187.41,188.4,23104.727
2020-05-12 04:00:00,188.46,189.09,186.94,187.5,28438.729
2020-05-12 04:30:00,187.51,188.43,187.37,187.64,21970.464
2020-05-12 05:00:00,187.69,189.2,187.64,188.59,29345.643
2020-05-12 05:30:00,188.59,189.37,188.0,188.26,22977.757
2020-05-12 06:00:00,188.27,189.11,187.55,187.8,22849.207
2020-05-12 06:30:00,187.82,188.44,187.71,188.25,21205.102
2020-05-12 07:00:00,188.25,188.81,186.66,187.23,26861.693
2020-05-12 07:30:00,187.19,188.22,187.03,187.99,24775.432
2020-05-12 08:00:00,187.96,189.27,187.65,189.05,39209.258
2020-05-12 08:30:00,189.09,189.85,188.58,189.74,35327.307
2020-05-12 09:00:00,189.72,190.96,189.37,189.76,48221.299
2020-05-12 09:30:00,189.75,190.2,189.42,189.68,26749.974
2020-05-12 10:00:00,189.69,190.71,188.55,190.05,42431.544
2020-05-12 10:30:00,190.05,190.46,189.21,190.22,19789.678
2020-05-12 11:00:00,190.23,190.55,189.71,190.04,19660.047
2020-05-12 11:30:00,190.05,190.87,189.64,190.74,18867.037
2020-05-12 12:00:00,190.75,191.22,189.51,189.67,31598.083
2020-05-12 12:30:00,189.67,190.26,189.42,190.12,14535.577
2020-05-12 13:00:00,190.11,190.4,188.23,189.74,33732.179
2020-05-12 13:30:00,189.73,190.46,189.26,189.99,20958.371
2020-05-12 14:00:00,190.0,192.31,189.9,191.66,63962.571
2020-05-12 14:30:00,191.66,191.68,190.32,191.06,25654.07
2020-05-12 15:00:00,191.06,191.64,190.51,191.12,30337.989
2020-05-12 15:30:00,191.06,191.2,190.34,190.76,26166.862
2020-05-12 16:00:00,190.83,191.74,190.64,190.72,26916.953
2020-05-12 16:30:00,190.72,190.96,190.13,190.96,18700.65
2020-05-12 17:00:00,190.97,192.19,190.85,191.43,19495.872
2020-05-12 17:30:00,191.43,191.53,190.0,190.79,27172.592
2020-05-12 18:00:00,190.75,191.01,190.24,190.69,14598.346
2020-05-12 18:30:00,190.7,190.85,190.18,190.52,14685.166
2020-05-12 19:00:00,190.52,191.45,189.4,191.02,24611.198
2020-05-12 19:30:00,191.02,191.2,189.09,189.47,15648.525
2020-05-12 20:00:00,189.46,190.17,188.6,189.37,27570.901
2020-05-12 20:30:00,189.37,190.2,189.11,189.44,11127.152
2020-05-12 21:00:00,189.38,189.63,189.0,189.39,9113.211
2020-05-12 21:30:00,189.39,189.87,186.61,188.44,36328.488
2020-05-12 22:00:00,188.43,189.29,186.63,188.51,41436.314
2020-05-12 22:30:00,188.51,190.12,188.44,189.64,18693.816
2020-05-12 23:00:00,189.67,190.19,189.2,189.83,15616.274
2020-05-12 23:30:00,189.83,190.12,189.0,189.64,13427.357
2020-05-13 00:00:00,189.64,190.58,189.12,190.13,26819.265
2020-05-13 00:30:00,190.09,191.11,189.98,190.86,22414.149
2020-05-13 01:00:00,190.81,191.27,190.07,190.46,10865.411
2020-05-13 01:30:00,190.47,190.93,190.17,190.75,11007.111
2020-05-13 02:00:00,190.75,190.95,190.3,190.62,14548.967
2020-05-13 02:30:00,190.62,191.3,190.08,191.11,14749.35
2020-05-13 03:00:00,191.1,191.4,190.55,190.94,13852.054
2020-05-13 03:30:00,190.95,191.25,190.34,190.79,15134.202
2020-05-13 04:00:00,190.8,190.9,189.83,190.26,23330.748
2020-05-13 04:30:00,190.26,190.68,189.97,190.65,12660.74
2020-05-13 05:00:00,190.65,190.76,190.09,190.42,15270.136
2020-05-13 05:30:00,190.42,190.55,189.63,189.94,17071.742
2020-05-13 06:00:00,189.95,190.43,189.75,190.31,11090.34
2020-05-13 06:30:00,190.32,190.5,189.77,190.5,17400.675
2020-05-13 07:00:00,190.49,190.5,189.9,190.08,7922.51
2020-05-13 07:30:00,190.08,190.09,189.65,189.72,8080.776
2020-05-13 08:00:00,189.71,189.8,187.64,189.67,72001.734
2020-05-13 08:30:00,189.67,190.38,189.41,190.26,28827.431
2020-05-13 09:00:00,190.22,190.43,189.81,189.89,11951.048
2020-05-13 09:30:00,189.89,190.3,189.72,190.11,12092.041
2020-05-13 10:00:00,190.1,190.25,189.49,189.79,11141.413
2020-05-13 10:30:00,189.78,190.5,189.55,190.43,18594.88
2020-05-13 11:00:00,190.43,190.96,189.92,190.0,21205.92
2020-05-13 11:30:00,190.0,191.1,189.88,190.97,27672.185
2020-05-13 12:00:00,190.99,191.24,190.55,190.77,20845.359
2020-05-13 12:30:00,190.73,194.5,190.67,193.89,102003.774
2020-05-13 13:00:00,193.9,195.15,193.25,194.16,54104.224
2020-05-13 13:30:00,194.17,194.67,193.5,194.54,32551.469
2020-05-13 14:00:00,194.54,198.06,194.53,196.47,99244.849
2020-05-13 14:30:00,196.48,197.1,195.42,196.68,54914.269
2020-05-13 15:00:00,196.61,197.45,196.28,197.22,33272.381
2020-05-13 15:30:00,197.21,198.43,197.21,198.09,44893.15
2020-05-13 16:00:00,198.14,199.52,196.14,196.34,70319.0
2020-05-13 16:30:00,196.37,197.18,196.07,196.91,25599.695
2020-05-13 17:00:00,196.92,197.0,195.27,196.1,30722.152
2020-05-13 17:30:00,196.1,196.7,195.88,196.45,12293.993
2020-05-13 18:00:00,196.46,197.03,196.4,196.79,10389.025
2020-05-13 18:30:00,196.79,196.99,196.07,196.21,10017.224
2020-05-13 19:00:00,196.23,196.88,196.05,196.16,13627.846
2020-05-13 19:30:00,196.15,197.15,195.89,196.8,16806.623
2020-05-13 20:00:00,196.8,198.32,196.63,197.8,41388.729
2020-05-13 20:30:00,197.78,198.76,197.55,197.83,29861.146
2020-05-13 21:00:00,197.83,198.77,197.8,198.06,33400.96
2020-05-13 21:30:00,198.06,200.95,197.16,200.33,62576.405
2020-05-13 22:00:00,200.29,200.86,199.38,200.07,39555.407
2020-05-13 22:30:00,200.07,200.15,198.19,199.16,37409.826
2020-05-13 23:00:00,199.16,199.91,198.4,199.25,31559.717
2020-05-13 23:30:00,199.28,200.13,199.0,199.54,20675.529
2020-05-14 00:00:00,199.53,200.77,199.53,199.71,45337.336
2020-05-14 00:30:00,199.72,199.72,198.0,198.36,34854.606
2020-05-14 01:00:00,198.36,198.9,197.52,198.66,21917.976
2020-05-14 01:30:00,198.64,198.69,196.85,197.21,20985.889
2020-05-14 02:00:00,197.2,198.0,196.43,197.99,24832.74
2020-05-14 02:30:00,197.99,198.82,197.89,198.68,18252.942
2020-05-14 03:00:00,198.69,198.73,197.7,198.42,11429.4
2020-05-14 03:30:00,198.44,199.11,198.1,199.01,15810.993
2020-05-14 04:00:00,198.98,199.07,197.8,198.04,19519.06
2020-05-14 04:30:00,198.04,198.21,197.53,197.63,16438.167
2020-05-14 05:00:00,197.63,197.64,195.56,197.25,67706.183
2020-05-14 05:30:00,197.22,199.53,197.04,198.89,48957.368
2020-05-14 06:00:00,198.89,199.36,198.14,198.93,39242.686
2020-05-14 06:30:00,198.93,199.38,198.51,198.7,21780.642
2020-05-14 07:00:00,198.69,200.6,198.2,200.31,42214.584
2020-05-14 07:30:00,200.3,200.66,199.44,199.74,39619.74
2020-05-14 08:00:00,199.71,200.14,198.55,199.8,37802.349
2020-05-14 08:30:00,199.79,202.4,199.1,201.6,86582.298
2020-05-14 09:00:00,201.63,203.8,201.6,203.19,79650.481
2020-05-14 09:30:00,203.19,205.11,202.5,204.61,76646.793
2020-05-14 10:00:00,204.59,205.95,201.8,202.23,130728.568
2020-05-14 10:30:00,202.24,202.97,200.24,201.93,56486.79
2020-05-14 11:00:00,201.92,203.95,201.86,203.68,37843.725
2020-05-14 11:30:00,203.67,203.91,202.12,202.45,42052.957
2020-05-14 12:00:00,202.44,202.71,200.66,202.04,53392.964
2020-05-14 12:30:00,202.02,202.08,201.23,201.52,28472.475
2020-05-14 13:00:00,201.5,202.16,200.62,201.75,31508.767
2020-05-14 13:30:00,201.76,202.14,201.02,201.61,22443.613
2020-05-14 14:00:00,201.62,202.89,201.1,202.3,31701.476
2020-05-14 14:30:00,202.29,203.18,201.7,202.06,26592.011
2020-05-14 15:00:00,202.05,202.36,200.87,202.13,33571.296
2020-05-14 15:30:00,202.12,202.55,201.58,202.42,26093.789
2020-05-14 16:00:00,202.4,203.0,200.74,200.9,38338.333
2020-05-14 16:30:00,200.89,201.18,197.0,199.23,95382.941
2020-05-14 17:00:00,199.15,199.21,198.05,198.26,28068.7
2020-05-14 17:30:00,198.26,198.27,196.0,198.02,56925.877
2020-05-14 18:00:00,198.01,199.13,197.5,198.96,24837.922
2020-05-14 18:30:00,198.96,200.34,198.71,200.11,30387.469
2020-05-14 19:00:00,200.11,201.79,199.84,201.73,60027.848
2020-05-14 19:30:00,201.73,204.49,201.49,203.29,71291.256
2020-05-14 20:00:00,203.33,205.14,202.09,203.61,56824.065
2020-05-14 20:30:00,203.68,204.5,201.89,202.57,43624.952
2020-05-14 21:00:00,202.58,202.88,201.92,202.44,13178.077
2020-05-14 21:30:00,202.44,203.13,202.43,202.92,12284.112
