symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
ETH,4h,1.3,0.5,0.5,24,True,13,17,30,-12.316644877974934,33.37931034482759,0.4233095707966749,56
BTC,1h,1.3,0.5,0.5,24,False,78,88,166,-203.53296188239665,36.24981797000146,0.5438982417922869,231
BTC,2h,1.3,0.5,0.5,24,False,81,85,166,-206.3142718734748,28.885829180872456,0.4413009345233561,82
BTC,4h,1.3,0.5,0.5,24,False,43,45,88,-204.329539388616,34.37132784958872,0.4637626575430813,69
ETH,1h,1.3,0.5,0.5,24,False,87,83,170,-10.945573971109745,37.785016286644954,0.647476362905271,307
ETH,2h,1.3,0.5,0.5,24,False,71,85,156,-6.802484533759641,40.625,0.8466292500930019,288
ETH,4h,1.3,0.5,0.5,24,False,43,48,91,-13.862449429484785,37.284533648170004,0.7608228299669284,165
BTC,1h,1.3,0.5,0.5,48,True,19,22,41,-35.4987213283941,37.67123287671233,0.7366728095421311,73
BTC,2h,1.3,0.5,0.5,48,True,24,27,51,20.12682707470549,40.21739130434783,0.9571357687563785,92
BTC,4h,1.3,0.5,0.5,48,True,12,10,22,-50.284346146177086,47.5,0.637322684328165,40
ETH,1h,1.3,0.5,0.5,48,True,31,37,68,-4.243613426899899,40.625,0.7032196781101364,128
ETH,2h,1.3,0.5,0.5,48,True,26,28,54,-1.6505205525448021,40.77669902912621,0.9066158505002003,103
ETH,4h,1.3,0.5,0.5,48,True,16,19,35,-17.282487331854938,30.67855276907001,0.3551739215027987,64
BTC,1h,1.3,0.5,0.5,48,False,82,93,175,-207.21187659738706,35.92144010100667,0.5442506666629442,247
BTC,2h,1.3,0.5,0.5,48,False,85,89,174,-176.36922573658836,41.83121354788842,0.8041073551273433,266
BTC,4h,1.3,0.5,0.5,48,False,44,49,93,-211.77628543858071,34.871238818107884,0.4617325502630014,68
ETH,1h,1.3,0.5,0.5,48,False,95,92,187,-9.662255088769752,39.701492537313435,0.6906233681223031,335
ETH,2h,1.3,0.5,0.5,48,False,75,91,166,-9.203907240284604,40.59405940594059,0.8289317201172595,303
ETH,4h,1.3,0.5,0.5,48,False,44,48,92,-17.04073386119976,38.41169379144063,0.7232621884449577,168
BTC,1h,1.3,0.5,0.5,96,True,23,29,52,-54.2800349672476,38.57487922705314,0.7009492609121544,92
BTC,2h,1.3,0.5,0.5,96,True,27,30,57,74.08073243786711,44.11764705882353,1.1067404291743375,102
BTC,4h,1.3,0.5,0.5,96,True,14,11,25,-62.64649512263687,47.82608695652174,0.5868713058102258,46
ETH,1h,1.3,0.5,0.5,96,True,36,45,81,-6.848318383519897,39.333333333333336,0.6284783193026552,150
ETH,2h,1.3,0.5,0.5,96,True,28,33,61,-2.769780091879767,40.869565217391305,0.884615133036849,115
ETH,4h,1.3,0.5,0.5,96,True,16,19,35,-17.282487331854938,30.67855276907001,0.3551739215027987,64
BTC,1h,1.3,0.5,0.5,96,False,88,96,184,-207.73643750045056,36.23852270347335,0.5882082001346225,289
BTC,2h,1.3,0.5,0.5,96,False,86,94,180,-138.93102294680327,42.598522167487694,0.8400519255440588,280
BTC,4h,1.3,0.5,0.5,96,False,46,49,95,-215.9819070180889,33.90480032271077,0.4299910310454316,67
ETH,1h,1.3,0.5,0.5,96,False,98,100,198,-9.135651326004712,40.112994350282484,0.7161929706181813,354
ETH,2h,1.3,0.5,0.5,96,False,79,93,172,-10.464505963494588,40.95238095238095,0.8240077438748562,315
ETH,4h,1.3,0.5,0.5,96,False,45,49,94,-22.271768157969756,37.14181286549707,0.6795575354619172,171
BTC,1h,1.3,0.5,0.8,24,True,15,18,33,-40.72716351781947,40.0,0.6324415653405463,60
BTC,2h,1.3,0.5,0.8,24,True,18,20,38,-14.567986472439319,45.833333333333336,0.88749889789905,72
BTC,4h,1.3,0.5,0.8,24,True,10,9,19,-105.9316670874885,44.11764705882353,0.41648426393664584,34
ETH,1h,1.3,0.5,0.8,24,True,23,32,55,-4.667540346499889,40.18691588785047,0.6836264979906024,107
ETH,2h,1.3,0.5,0.8,24,True,20,18,38,3.9605473033001237,47.2972972972973,1.2623954220952969,74
ETH,4h,1.3,0.5,0.8,24,True,13,17,30,-1.5367228217199358,40.80788177339902,0.8364210201205066,56
BTC,1h,1.3,0.5,0.8,24,False,78,88,166,-206.82766794894047,39.67465929290934,0.5732685229272741,249
BTC,2h,1.3,0.5,0.8,24,False,81,85,166,-220.706236006965,29.979702790866256,0.4816931947224749,89
BTC,4h,1.3,0.5,0.8,24,False,43,45,88,-215.1215518722695,34.37132784958872,0.4522826713339239,69
ETH,1h,1.3,0.5,0.8,24,False,87,83,170,-10.290643171944755,38.81578947368421,0.6879587601684294,304
ETH,2h,1.3,0.5,0.8,24,False,71,85,156,-9.099904023864621,40.90909090909091,0.8148011382785798,286
ETH,4h,1.3,0.5,0.8,24,False,43,48,91,-14.139890267309783,38.27618164967563,0.7630247820495059,166
BTC,1h,1.3,0.5,0.8,48,True,19,22,41,-10.841149598357156,43.123446561723284,0.885770264614363,71
BTC,2h,1.3,0.5,0.8,48,True,24,27,51,0.8759472447020826,41.30434782608695,0.8881605609407658,92
BTC,4h,1.3,0.5,0.8,48,True,12,10,22,-88.49323644770412,47.5,0.5352706729095404,40
ETH,1h,1.3,0.5,0.8,48,True,31,37,68,-4.677966936139891,42.18750000000001,0.7220867710525511,128
ETH,2h,1.3,0.5,0.8,48,True,26,28,54,1.7292769019952006,43.689320388349515,1.0698981973598891,103
ETH,4h,1.3,0.5,0.8,48,True,16,19,35,-11.901206232689937,36.124853981996836,0.46653974422658834,63
BTC,1h,1.3,0.5,0.8,48,False,82,93,175,-203.9969937350533,39.31297709923664,0.5782532390625663,264
BTC,2h,1.3,0.5,0.8,48,False,85,89,174,-186.80766348057602,43.2844803171906,0.7943357582167914,264
BTC,4h,1.3,0.5,0.8,48,False,44,49,93,-222.55741963557486,34.871238818107884,0.45011686754592867,68
ETH,1h,1.3,0.5,0.8,48,False,95,92,187,-9.452980773974748,40.483383685800604,0.7138670312354303,331
ETH,2h,1.3,0.5,0.8,48,False,75,91,166,-11.191913928834607,40.863787375415285,0.8029145388878026,301
ETH,4h,1.3,0.5,0.8,48,False,44,48,92,-17.318174699024755,39.37869822485207,0.7268870835843135,169
BTC,1h,1.3,0.5,0.8,96,True,23,29,52,-22.73369897221137,44.00516795865633,0.8462555274014587,90
BTC,2h,1.3,0.5,0.8,96,True,27,30,57,53.930139593670795,45.19230769230769,1.0220699885024764,104
BTC,4h,1.3,0.5,0.8,96,True,14,11,25,-104.45495666858743,47.82608695652174,0.48606149956935274,46
