family,strategy,symbol,timeframe,error,n_signals,n_long,n_short,total_return_pct,winrate_pct,leg_a_return_pct,leg_b_return_pct,leg_a_winrate_pct,leg_b_winrate_pct
fib_retrace,default,BTC,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,1d,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1d,local variable '_trail' referenced before assignment,,,,,,,,,
ictsuite,scalp_sweep,BTC,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,ETH,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,ETH,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,ETH,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,ETH,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,BTC,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,BTC,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,BTC,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,BTC,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,ETH,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,ETH,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,ETH,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,intraday_quantum,ETH,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,BTC,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,BTC,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,BTC,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,BTC,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,ETH,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,ETH,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,ETH,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,macro_swing,ETH,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,sfp,BTC,1h,,1215.0,618.0,597.0,-105.10487688221829,33.73788617886179,-105.32737814710002,-104.21487182269138,35.77235772357724,25.6
ictsuite,sfp,BTC,2h,,1057.0,519.0,538.0,-102.80057314458047,28.30075187969925,-101.55479961320783,-107.78366727007096,31.428571428571427,15.789473684210526
ictsuite,sfp,BTC,4h,,567.0,278.0,289.0,-102.10741819783742,16.670967741935485,-102.20708498907763,-101.70875103287659,16.0,19.35483870967742
ictsuite,sfp,BTC,1d,,77.0,38.0,39.0,-70.51445578623407,17.17948717948718,-103.61900394020958,61.903736829668034,16.666666666666664,19.230769230769234
ictsuite,sfp,ETH,1h,,1105.0,566.0,539.0,-32.41178576453926,28.31107500368201,-34.85872064263926,-22.624046252139255,30.525030525030527,19.45525291828794
ictsuite,sfp,ETH,2h,,995.0,481.0,514.0,-23.59117551032306,31.94715250340209,-21.867958779738967,-30.484042432659425,34.4640434192673,21.879588839941263
ictsuite,sfp,ETH,4h,,504.0,246.0,258.0,-12.896529957435728,32.96982590504556,-14.581112612099718,-6.1581993387797676,35.189873417721515,24.089635854341736
ictsuite,sfp,ETH,1d,,66.0,31.0,35.0,-17.09904812850396,20.0,-21.76352046891995,1.5588412331600185,20.0,20.0
ictsuite,sfp_institutional,BTC,1h,,4.0,3.0,1.0,4.27726250981503,40.0,6.618055882645649,-5.085910981507449,50.0,0.0
ictsuite,sfp_institutional,BTC,2h,,6.0,4.0,2.0,-11.827773283246062,0.0,-11.91232069383641,-11.48958364088467,0.0,0.0
ictsuite,sfp_institutional,BTC,4h,,7.0,5.0,2.0,4.00610694338344,22.857142857142858,8.692487009882644,-14.739413322613384,28.57142857142857,0.0
ictsuite,sfp_institutional,BTC,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,sfp_institutional,ETH,1h,,4.0,2.0,2.0,-1.3119338380199965,0.0,-1.4594603980199965,-0.7218275980199964,0.0,0.0
ictsuite,sfp_institutional,ETH,2h,,8.0,2.0,6.0,-2.9443145749599915,10.0,-2.7846020149599893,-3.583164814960001,12.5,0.0
ictsuite,sfp_institutional,ETH,4h,,3.0,0.0,3.0,-2.95693482873999,0.0,-2.956934828739989,-2.9569348287399926,0.0,0.0
ictsuite,sfp_institutional,ETH,1d,,0.0,0.0,0.0,0.0,,0.0,0.0,,
